OBJECTID,CNTYPT_,NAME,PYNAME,ADCODE93,POINT_X,POINT_Y
71,103.000000000000000,呼兰县,Hulan Xian,230121,126.598299999999995,45.980553000000043
72,104.000000000000000,通河县,Tonghe Xian,232128,128.738100000000031,45.973423000000082
73,105.000000000000000,木兰县,Mulan Xian,232127,128.033840000000055,45.946217000000047
74,106.000000000000000,托里县,Tuoli Xian,654224,83.602913000000058,45.932159000000070
75,107.000000000000000,镇赉县,Zhenlai Xian,222326,123.200250000000096,45.841965000000073
76,108.000000000000000,方正县,Fangzheng Xian,232130,128.824490000000083,45.831020000000080
77,111.000000000000000,虎林县,Hulin Xian,231027,132.967500000000086,45.762371000000087
78,112.000000000000000,宾县,Bin Xian,232122,127.474710000000073,45.753532000000064
79,113.000000000000000,勃利县,Boli Xian,230921,130.569700000000012,45.752316000000064
80,115.000000000000000,肇州县,Zhaozhou Xian,232329,125.267890000000079,45.696548000000064
81,119.000000000000000,阿城市,Acheng Shi,230181,126.965110000000095,45.545208000000059
82,120.000000000000000,密山市,Mishan Shi,231082,131.866870000000063,45.538898000000074
83,121.000000000000000,霍林郭勒市,Holingol Shi,152302,119.630910000000085,45.536461000000088
84,122.000000000000000,东乌珠穆沁旗,Dong Ujimqin Qi,152525,116.968920000000026,45.512962000000073
85,123.000000000000000,肇源县,Zhaoyuan Xian,232328,125.082570000000032,45.511818000000062
86,124.000000000000000,大安市,Da'an Shi,222304,124.287239999999997,45.500519000000054
87,125.000000000000000,延寿县,Yanshou Xian,232131,128.327530000000024,45.449497000000065
88,126.000000000000000,突泉县,Tuquan Xian,152224,121.553690000000074,45.377369000000044
89,129.000000000000000,洮南市,Taonan Shi,222302,122.774310000000014,45.337811000000045
90,132.000000000000000,林口县,Linkou Xian,231025,130.270579999999995,45.274105000000077
91,133.000000000000000,鸡东县,Jidong Xian,230321,131.122470000000021,45.243252000000041
92,135.000000000000000,尚志市,Shangzhi Shi,232102,127.954330000000027,45.213657000000069
93,137.000000000000000,扶余市,Fuyu Shi,222303,124.822040000000015,45.172604000000035
94,138.000000000000000,前郭尔罗斯蒙古族自治县,Qian Gorlos Mongolzu Zizhixian,222324,124.822630000000004,45.111732000000075
95,140.000000000000000,科尔沁右翼中旗,Horqin Youyi Zhongqi,152222,121.465580000000045,45.057373000000041
96,141.000000000000000,乾安县,Qian'an Xian,222328,124.011430000000018,44.998020000000054
97,142.000000000000000,温泉县,Wenquan Xian,652723,81.029633000000047,44.970646000000045
98,143.000000000000000,穆棱县,Muleng Xian,231023,130.514420000000086,44.915733000000046
99,144.000000000000000,五常县,Wuchang Xian,232125,127.155950000000075,44.914169000000072
100,145.000000000000000,博乐市,Bole Shi,652701,82.073204000000032,44.906643000000088
101,146.000000000000000,榆树县,Yushu Xian,220182,126.550030000000106,44.824448000000075
102,147.000000000000000,通榆县,Tongyu Xian,222327,123.082520000000045,44.800243000000080
103,148.000000000000000,精河县,Jinghe Xian,652722,82.883011000000067,44.608646000000078
